id;name;description;git_hub_url;git_hub_node_id
1;Implementar autenticação JWT;Criar endpoints de login, refresh token e middleware de autorização;https://github.com/acme-corp/ecommerce-platform/issues/42;IS_kwDOAbc001
2;Criar tela de matrícula;Formulário de matrícula com validação e integração com API acadêmica;https://github.com/universidade-br/sga-portal/issues/15;IS_kwDOAbc002
3;Integrar gateway de pagamento;Conectar API com Stripe/PagSeguro para processamento de transações;https://github.com/fintech-pay/payment-api/issues/78;IS_kwDOAbc003
4;Mapa de rastreamento do entregador;Componente de mapa em tempo real com WebSocket para localização;https://github.com/foodtech-br/delivery-app/issues/33;IS_kwDOAbc004
5;Gráfico de vendas mensais;Widget de dashboard com filtros por período e exportação CSV;https://github.com/data-corp/analytics-dashboard/issues/21;IS_kwDOAbc005
6;Pipeline de leads;Kanban de oportunidades com drag-and-drop e notificações por e-mail;https://github.com/sales-inc/crm-system/issues/56;IS_kwDOAbc006
7;Módulo de solicitação de férias;Fluxo de aprovação com notificação ao gestor e RH;https://github.com/hr-solutions/employee-portal/issues/9;IS_kwDOAbc007
8;Player de videoaulas;Reprodutor com controle de progresso e marcação de aulas concluídas;https://github.com/edutech-br/learning-platform/issues/44;IS_kwDOAbc008
9;SLA automático de tickets;Regras de escalação por prioridade e tempo de resposta;https://github.com/support-co/ticket-system/issues/67;IS_kwDOAbc009
10;OAuth2 com Google;Login social via Google Identity com vinculação de contas existentes;https://github.com/security-lab/auth-service/issues/12;IS_kwDOAbc010
